TAIRID	Tissue_specificity
AT1G50620	embryo.all
AT1G50840	embryo.all
AT1G50920	embryo.all
AT1G51080	embryo.all
AT1G51190	embryo.all
AT1G51360	embryo.all
AT1G51390	embryo.all
AT1G51960	embryo.all
AT1G52150	embryo.all
AT1G52980	embryo.all
AT1G53035	embryo.all
AT1G53860	embryo.all
AT1G54050	embryo.all
AT1G54290	embryo.all
AT1G54380	embryo.all
AT1G54850	embryo.all
AT1G54920	embryo.all
AT1G55200	embryo.all
AT1G55500	embryo.all
AT1G55680	embryo.all
AT1G56110	embryo.all
AT1G56690	embryo.all
AT1G59710	embryo.all
AT1G59760	embryo.all
AT1G60080	embryo.all
AT1G60620	embryo.all
AT1G60630	embryo.all
AT1G60850	embryo.all
AT1G61040	embryo.all
